861368028808 [-1.0287 -2.00192]'  [0.497392 1.09426]'  [0.072608 -0.0342624]'  [0.129803 -0.0612515]' 
861369029438 [-1.0282 -2.00087]'  [0.49681 1.0433]'  [0.0731896 0.0166981]'  [0.130842 0.0298516]' 
861370112808 [-1.0277 -1.99978]'  [0.458868 1.00951]'  [0.111132 0.0504913]'  [0.198673 0.0902642]' 
861371033247 [-1.02726 -1.99898]'  [0.486084 0.86415]'  [0.0839156 0.19585]'  [0.150017 0.350125]' 
861372028807 [-1.02686 -1.99799]'  [0.399472 0.998681]'  [0.170528 0.061319]'  [0.304855 0.109621]' 
861373029557 [-1.02641 -1.99699]'  [0.447076 0.993502]'  [0.122924 0.0664983]'  [0.219754 0.11888]' 
861374028837 [-1.02591 -1.99595]'  [0.497482 1.04471]'  [0.0725184 0.0152887]'  [0.129643 0.0273318]' 
861375029767 [-1.02542 -1.99496]'  [0.496662 0.993323]'  [0.0733385 0.066677]'  [0.131109 0.1192]' 
861376028837 [-1.02492 -1.99401]'  [0.497586 0.945414]'  [0.0724138 0.114586]'  [0.129456 0.204848]' 
861377028807 [-1.02442 -1.99307]'  [0.497138 0.944563]'  [0.0728617 0.115437]'  [0.130256 0.206369]' 
861378029197 [-1.02388 -1.99212]'  [0.546623 0.944166]'  [0.0233774 0.115834]'  [0.0417923 0.207078]' 
861379029077 [-1.02333 -1.99118]'  [0.546901 0.944648]'  [0.0230986 0.115352]'  [0.0412938 0.206217]' 
861380112987 [-1.02278 -1.99008]'  [0.504503 1.00901]'  [0.0654971 0.0509942]'  [0.11709 0.0911633]' 
861381034056 [-1.02233 -1.98909]'  [0.485752 1.07945]'  [0.084248 -0.0194488]'  [0.150612 -0.0347689]' 
861382028626 [-1.02184 -1.9881]'  [0.499838 0.999675]'  [0.0701625 0.060325]'  [0.125431 0.107844]' 
861383029826 [-1.02134 -1.9871]'  [0.496528 0.993055]'  [0.0734724 0.0669449]'  [0.131348 0.119679]' 
861384028896 [-1.02084 -1.98626]'  [0.497586 0.845896]'  [0.0724138 0.214104]'  [0.129456 0.382757]' 
861385029826 [-1.0204 -1.98526]'  [0.446995 0.993323]'  [0.123005 0.066677]'  [0.219898 0.1192]' 
861386029166 [-1.01985 -1.98437]'  [0.547197 0.895413]'  [0.0228031 0.164587]'  [0.0407655 0.294235]' 
861387028476 [-1.01935 -1.98337]'  [0.497467 0.994933]'  [0.0725333 0.0650667]'  [0.129669 0.116321]' 
861388028686 [-1.0188 -1.98243]'  [0.546721 0.944336]'  [0.0232791 0.115664]'  [0.0416164 0.206774]' 
861389029406 [-1.01831 -1.98143]'  [0.496766 0.993531]'  [0.0732343 0.0664685]'  [0.130922 0.118827]' 
861390112326 [-1.01776 -1.98039]'  [0.504964 0.964022]'  [0.0650359 0.0959776]'  [0.116266 0.171581]' 
861391033215 [-1.01726 -1.9795]'  [0.53983 0.971694]'  [0.0301701 0.0883062]'  [0.0539357 0.157867]' 
861392029135 [-1.01677 -1.9785]'  [0.49916 0.99832]'  [0.07084 0.06168]'  [0.126642 0.110267]' 
861393028955 [-1.01622 -1.97756]'  [0.546934 0.944705]'  [0.0230658 0.115295]'  [0.0412352 0.206116]' 
861394028535 [-1.01567 -1.97646]'  [0.547066 1.09413]'  [0.0229345 -0.034131]'  [0.0410004 -0.0610167]' 
861395029495 [-1.01518 -1.97547]'  [0.496647 0.993293]'  [0.0733534 0.0667068]'  [0.131135 0.119253]' 
861396028775 [-1.01468 -1.97452]'  [0.497482 0.945215]'  [0.0725184 0.114785]'  [0.129643 0.205203]' 
861397029405 [-1.01423 -1.97368]'  [0.447129 0.844578]'  [0.122871 0.215422]'  [0.219658 0.385114]' 
861398028745 [-1.01373 -1.97273]'  [0.497452 0.945158]'  [0.0725483 0.114842]'  [0.129696 0.205305]' 
861399029645 [-1.01324 -1.97174]'  [0.496676 0.993353]'  [0.0733236 0.0666472]'  [0.131082 0.119146]' 
861400113435 [-1.01269 -1.97065]'  [0.504559 1.00912]'  [0.0654412 0.0508825]'  [0.116991 0.0909635]' 
861401035884 [-1.01224 -1.96975]'  [0.485025 0.970051]'  [0.0849747 0.0899495]'  [0.151911 0.160804]' 
861402028564 [-1.01175 -1.96876]'  [0.500789 1.00158]'  [0.0692108 0.0584216]'  [0.123729 0.104441]' 
861403029674 [-1.01125 -1.96781]'  [0.496572 0.943487]'  [0.0734278 0.116513]'  [0.131268 0.208292]' 
861404028564 [-1.0107 -1.96692]'  [0.547443 0.895816]'  [0.0225566 0.164184]'  [0.0403248 0.293514]' 
861405028774 [-1.01025 -1.96597]'  [0.447317 0.944336]'  [0.122683 0.115664]'  [0.219322 0.206774]' 
861406028864 [-1.00971 -1.96503]'  [0.546787 0.944449]'  [0.0232135 0.115551]'  [0.0414991 0.206572]' 
861407023044 [-1.00926 -1.96404]'  [0.45003 1.00007]'  [0.11997 0.0599328]'  [0.214472 0.107143]' 
861408033724 [-1.00876 -1.96309]'  [0.49187 0.934553]'  [0.0781298 0.125447]'  [0.139674 0.224263]' 
861409029314 [-1.00827 -1.96215]'  [0.499325 0.948718]'  [0.0706746 0.111282]'  [0.126346 0.19894]' 
861410112984 [-1.00777 -1.96115]'  [0.458741 0.917481]'  [0.111259 0.142519]'  [0.198901 0.254784]' 
861411034083 [-1.00737 -1.96031]'  [0.431765 0.917502]'  [0.138235 0.142498]'  [0.247124 0.254747]' 
861412028983 [-1.00682 -1.95931]'  [0.549639 0.999343]'  [0.0203611 0.0606565]'  [0.0363999 0.108437]' 
861413029613 [-1.00633 -1.95837]'  [0.49681 0.94394]'  [0.0731896 0.11606]'  [0.130842 0.207483]' 
861414028563 [-1.00578 -1.95732]'  [0.547411 1.04506]'  [0.0225895 0.0149435]'  [0.0403836 0.0267148]' 
861415029133 [-1.00528 -1.95633]'  [0.49684 0.99368]'  [0.0731598 0.0663196]'  [0.130789 0.118561]' 
861416028713 [-1.00474 -1.95539]'  [0.547066 0.944931]'  [0.0229345 0.115069]'  [0.0410004 0.20571]' 
861417029613 [-1.00419 -1.95444]'  [0.546344 0.943685]'  [0.023656 0.116315]'  [0.0422902 0.207938]' 
861418028893 [-1.00369 -1.9535]'  [0.497482 0.945215]'  [0.0725184 0.114785]'  [0.129643 0.205203]' 
861419029523 [-1.0032 -1.9525]'  [0.49681 0.993621]'  [0.0731896 0.0663792]'  [0.130842 0.118667]' 
861420112713 [-1.00265 -1.95141]'  [0.504838 1.00968]'  [0.0651618 0.0503235]'  [0.116491 0.0899643]' 
861421032912 [-1.0022 -1.95046]'  [0.486211 1.02645]'  [0.0837888 0.0335541]'  [0.149791 0.0599853]' 
861422028442 [-1.0017 -1.94952]'  [0.499356 0.948775]'  [0.0706445 0.111225]'  [0.126292 0.198838]' 
861423029072 [-1.00131 -1.94857]'  [0.397448 0.94394]'  [0.172552 0.11606]'  [0.308474 0.207483]' 
861424027992 [-1.00081 -1.94763]'  [0.497661 0.945556]'  [0.0723391 0.114444]'  [0.129322 0.204594]' 
861425028772 [-1.00026 -1.94664]'  [0.54641 0.993472]'  [0.0235905 0.0665281]'  [0.0421731 0.118934]' 
861426028862 [-0.999765 -1.94564]'  [0.497079 0.994157]'  [0.0729213 0.0658427]'  [0.130363 0.117708]' 
861427028922 [-0.999268 -1.9446]'  [0.497094 1.0439]'  [0.0729064 0.0161035]'  [0.130336 0.0287885]' 
861428029132 [-0.998771 -1.9435]'  [0.497019 1.09344]'  [0.072981 -0.0334419]'  [0.130469 -0.0597846]' 
861429028982 [-0.998224 -1.94251]'  [0.546918 0.994396]'  [0.0230822 0.065604]'  [0.0412645 0.117282]' 
861430112532 [-0.997627 -1.94152]'  [0.55055 0.917583]'  [0.0194503 0.142417]'  [0.0347717 0.254602]' 
861431034501 [-0.99718 -1.94057]'  [0.485278 1.02448]'  [0.0847222 0.0355247]'  [0.151459 0.0635082]' 
861432029791 [-0.996633 -1.93958]'  [0.549424 0.998952]'  [0.0205765 0.0610481]'  [0.0367849 0.109137]' 
861433029041 [-0.996086 -1.93853]'  [0.547246 1.04474]'  [0.0227538 0.0152573]'  [0.0406774 0.0272758]' 
861434029191 [-0.995589 -1.93759]'  [0.497049 0.944393]'  [0.0729512 0.115607]'  [0.130416 0.206673]' 
861435029671 [-0.995042 -1.93659]'  [0.546573 0.99377]'  [0.0234266 0.0662302]'  [0.0418802 0.118401]' 
861436029461 [-0.994545 -1.9357]'  [0.497228 0.89501]'  [0.0727722 0.16499]'  [0.130096 0.294956]' 
861437029791 [-0.993998 -1.93475]'  [0.546655 0.944223]'  [0.0233447 0.115777]'  [0.0417337 0.206977]' 
861438029431 [-0.993451 -1.93381]'  [0.547033 0.944875]'  [0.0229673 0.115125]'  [0.0410591 0.205812]' 
861439029641 [-0.992905 -1.93282]'  [0.546721 0.994038]'  [0.0232791 0.0659619]'  [0.0416164 0.117921]' 
861440112801 [-0.992407 -1.93177]'  [0.458957 0.963809]'  [0.111043 0.0961912]'  [0.198514 0.171963]' 
861441034050 [-0.991861 -1.93083]'  [0.593581 1.02528]'  [-0.0235808 0.034724]'  [-0.0421559 0.0620768]' 
861442028590 [-0.991363 -1.92988]'  [0.499853 0.94972]'  [0.0701474 0.11028]'  [0.125404 0.19715]' 
861443029730 [-0.990817 -1.92894]'  [0.546213 0.943459]'  [0.0237869 0.116541]'  [0.0425244 0.208343]' 
861444028680 [-0.99032 -1.92794]'  [0.497646 0.995292]'  [0.0723541 0.0647081]'  [0.129349 0.11568]' 
861445030390 [-0.989822 -1.92695]'  [0.496275 0.99255]'  [0.0737252 0.0674505]'  [0.1318 0.120582]' 
861446029220 [-0.989325 -1.92581]'  [0.497706 1.14472]'  [0.0722943 -0.0847232]'  [0.129242 -0.151461]' 
861447030120 [-0.988878 -1.92481]'  [0.447009 0.993353]'  [0.122991 0.0666472]'  [0.219874 0.119146]' 
861448030330 [-0.98848 -1.92387]'  [0.397615 0.944336]'  [0.172385 0.115664]'  [0.308175 0.206774]' 
861449029880 [-0.987933 -1.92302]'  [0.547082 0.84549]'  [0.0229181 0.21451]'  [0.0409711 0.383483]' 
861450114690 [-0.987436 -1.92203]'  [0.458259 0.916517]'  [0.111741 0.143483]'  [0.199762 0.256507]' 
861451034919 [-0.986889 -1.92118]'  [0.594239 0.918369]'  [-0.0242388 0.141631]'  [-0.0433321 0.253196]' 
861452029579 [-0.986392 -1.92024]'  [0.499792 0.949605]'  [0.0702077 0.110395]'  [0.125512 0.197355]' 
861453029939 [-0.985895 -1.91919]'  [0.496945 1.04358]'  [0.0730555 0.0164165]'  [0.130603 0.0293482]' 
861454029789 [-0.985299 -1.91815]'  [0.596638 1.04412]'  [-0.0266376 0.0158842]'  [-0.0476205 0.0283965]' 
861455030359 [-0.984801 -1.91716]'  [0.49684 0.99368]'  [0.0731598 0.0663196]'  [0.130789 0.118561]' 
861456029579 [-0.984304 -1.91616]'  [0.497511 0.995023]'  [0.0724885 0.0649771]'  [0.129589 0.116161]' 
861457030209 [-0.983758 -1.91517]'  [0.546491 0.993621]'  [0.0235085 0.0663792]'  [0.0420267 0.118667]' 
861458029579 [-0.98331 -1.91422]'  [0.447693 0.94513]'  [0.122307 0.11487]'  [0.21865 0.205355]' 
861459030359 [-0.982813 -1.91328]'  [0.496736 0.943798]'  [0.0732641 0.116202]'  [0.130976 0.207736]' 
861460114029 [-0.982366 -1.91223]'  [0.412867 0.963355]'  [0.157133 0.0966448]'  [0.28091 0.172774]' 
861461034678 [-0.981918 -1.91134]'  [0.485974 0.971947]'  [0.0840264 0.0880529]'  [0.150216 0.157414]' 
861462029008 [-0.981421 -1.91045]'  [0.499958 0.899925]'  [0.0700418 0.160075]'  [0.125215 0.28617]' 
861463029548 [-0.980924 -1.9095]'  [0.496855 0.944025]'  [0.0731449 0.115975]'  [0.130762 0.207331]' 
861464029428 [-0.980427 -1.90851]'  [0.497183 0.994366]'  [0.0728169 0.0656339]'  [0.130176 0.117335]' 
861465029518 [-0.97993 -1.90751]'  [0.497079 0.994157]'  [0.0729213 0.0658427]'  [0.130363 0.117708]' 
861466029998 [-0.979383 -1.90647]'  [0.546573 1.04346]'  [0.0234266 0.0165417]'  [0.0418802 0.0295719]' 
861467030448 [-0.978836 -1.90542]'  [0.54659 1.04349]'  [0.0234102 0.0165104]'  [0.0418509 0.029516]' 
861468030328 [-0.978339 -1.90448]'  [0.497183 0.944648]'  [0.0728169 0.115352]'  [0.130176 0.206217]' 
861469031258 [-0.977842 -1.90358]'  [0.496662 0.893991]'  [0.0733385 0.166009]'  [0.131109 0.296778]' 
861470114118 [-0.977295 -1.90254]'  [0.504992 0.964076]'  [0.0650079 0.0959242]'  [0.116216 0.171485]' 
861471034977 [-0.976847 -1.90165]'  [0.485863 0.971725]'  [0.0841373 0.0882745]'  [0.150414 0.15781]' 
861472029727 [-0.9764 -1.9006]'  [0.449772 1.04947]'  [0.120228 0.0105311]'  [0.214933 0.0188267]' 
861473030867 [-0.975953 -1.89961]'  [0.446902 0.993115]'  [0.123098 0.0668853]'  [0.220065 0.119572]' 
861474029937 [-0.975456 -1.89861]'  [0.497586 0.995172]'  [0.0724138 0.0648277]'  [0.129456 0.115894]' 
861475030087 [-0.974958 -1.89767]'  [0.497049 0.944393]'  [0.0729512 0.115607]'  [0.130416 0.206673]' 
861476030447 [-0.974461 -1.89672]'  [0.496945 0.944195]'  [0.0730555 0.115805]'  [0.130603 0.207028]' 
861477029817 [-0.973914 -1.89578]'  [0.54718 0.94513]'  [0.0228195 0.11487]'  [0.0407949 0.205355]' 
861478029787 [-0.973417 -1.89484]'  [0.497138 0.944563]'  [0.0728617 0.115437]'  [0.130256 0.206369]' 
861479030627 [-0.972871 -1.89389]'  [0.546377 0.943742]'  [0.0236232 0.116258]'  [0.0422317 0.207837]' 
